text,category
Pav Bhaji shopping Hostel Mess using credit card in Pune during vacation evening,Food
Mouse today Apple Store using paytm morning,Shopping
Excitel Insurance recharge kiya using credit card in Jaipur,Bills
Shampoo Reebok in Jaipur during vacation morning,Shopping
Bikanervala Snacks mangaya for college,Food
Breakfast expense Dmart,Food
Dosa bill Wow Momo birthday morning,Food
flipkart Hoodie ka bill for office,Shopping
Arcade monthly Disney Hotstar weekend,Entertainment
Ajio Jeans ka bill late night,Shopping
Hostel PG Rent diya,Rent
Bus Ticket paid for Metro in Bangalore,Travel
Paneer order Behrouz using credit card after class,Food
H&M Headphones recharge kiya month end,Shopping
Room Maintenance ka bill using cash during vacation,Rent
Insurance at Vi late night afternoon,Bills
Shoppers Stop Notebook diya,Shopping
Keyboard at Bata hostel life,Shopping
McDonalds Ice Cream se liya in Pune daily expense,Food
Water Bill purchase Electricity Board,Bills
KFC Lassi diya urgent purchase,Food
Hostel Room Rent mangaya using paytm,Rent
Flat Rent yesterday PG,Rent
Keyboard via Noise using gpay morning night,Shopping
Poha today Chaayos using cash daily expense,Food
Blinkit Pasta monthly payment using paytm during trip,Food
Diesel bought Rapido using phonepe hostel life,Travel
Credit Card Bill purchased Broadband after class,Bills
Instamart Eggs bhar diya,Food
PG PG Rent liya using upi urgent purchase,Rent
MakeMyTrip Flight Ticket diya using phonepe after class,Travel
Hoodie yesterday H&M using cash in Pune daily expense,Shopping
Petrol Pump Parking bharwaya using debit card,Travel
Maintenance bill House using debit card today,Rent
Room Flat Rent liya using gpay,Rent
Subscription this week BookMyShow using phonepe for hostel month end,Entertainment
Blue Tokai Cold Coffee liya using phonepe in Delhi,Food
Groceries this month Theobroma in Bangalore night,Food
Meesho Backpack ke liye payment in Pune,Shopping
Electricity Bill recharge Broadband,Bills
Mi Store Lunch Box order kiya in Noida,Shopping
Gas Agency Electricity Bill pe khaya using paytm during trip,Bills
Apartment Flat Rent se mangaya using phonepe,Rent
Meesho Face Wash kharida for office night,Shopping
Notebook shopping Amazon using credit card,Shopping
Metro Ticket Akasa in Mumbai urgent purchase,Travel
Speaker using Myntra,Shopping
Steam Bowling se mangaya in Bangalore birthday today,Entertainment
OnePlus Store T Shirt ka payment month end,Shopping
Concert this month Steam morning,Entertainment
Backpack booking Amazon for family,Shopping
Pantaloons T Shirt se liya,Shopping
Vi Gas Bill se mangaya in Hyderabad,Bills
Recharge monthly Gas Agency using gpay weekend,Bills
Electricity Bill food Jio weekend,Bills
Hostel Maintenance recharge kiya using phonepe exam week,Rent
Nykaa Keyboard diya weekend,Shopping
Spencer Dosa se mangaya using phonepe in Delhi during trip,Food
Room Rent bill Hostel using upi in Agra birthday,Rent
Cricket Match at PlayStation Store using phonepe after class,Entertainment
IPL Ticket this week Prime Video daily expense,Entertainment
EatFit Ice Cream pe khaya monthly,Food
Wallet today Woodland in Lucknow for office,Shopping
USB Cable this month Woodland,Shopping
EMI expense Credit Card,Bills
Petrol booking Indigo evening,Travel
Petrol bought Uber using cash after class,Travel
Prime Video IPL Ticket pe gaya for college,Entertainment
amazn Books monthly payment urgent purchase,Shopping
Maintenance paid for PG using gpay in Agra exam week,Rent
Security Deposit bill Hostel evening month end,Rent
Cab shopping Petrol Pump,Travel
Goibibo Cab ke liye payment after class,Travel
Reliance Fresh Dal Rice diya,Food
SBI Water Bill pe gaya using paytm urgent purchase,Bills
HDFC Broadband Bill ke liye payment using upi in Pune after class,Bills
JioCinema Gaming pe gaya using phonepe in Agra,Entertainment
Excitel Insurance order kiya using debit card in Pune yesterday,Bills
Excitel Broadband Bill monthly payment in Noida morning,Bills
Noise Books diya yesterday,Shopping
Wallet booking Noise using gpay,Shopping
BookMyShow Arcade diya using credit card evening,Entertainment
Apple Store Backpack pe khaya using phonepe in Lucknow,Shopping
Spencer Roll book ki night,Food
JioMart Poha bharwaya using credit card in Agra,Food
Metro Train Ticket ka payment using debit card,Travel
Flat Rent paid for Society using cash with friends,Rent
Zepto Breakfast diya,Food
Nykaa Fashion Saree bharwaya in Pune morning,Shopping
Headphones yesterday Local Market in Agra night,Shopping
Toll Tax Indigo during trip weekend,Travel
Flat Rent order Room using paytm during trip,Rent
Arcade purchase Spotify,Entertainment
Chocolate monthly Cafe using credit card today,Food
Subscription this month BookMyShow in Jaipur,Entertainment
Coffee from Behrouz using cash,Food
Backpack expense OnePlus Store using upi in Hyderabad,Shopping
Local Dhaba Chocolate bhar diya using credit card in Delhi afternoon,Food
CCD Cold Coffee order kiya,Food
Pasta paid for Chaayos in Bangalore,Food
Room Rent this week Room using phonepe in Lucknow,Rent
BookMyShow Arcade ka payment using paytm birthday,Entertainment
Tempered Glass paid for Nykaa Fashion yesterday,Shopping
Phone Charger from Flipkart using gpay during trip,Shopping
Lassi Wow Momo using cash in Jaipur,Food
Dinner recharge Local Dhaba using paytm,Food
Nykaa Fashion Face Wash book ki using credit card,Shopping
Petrol Pump Taxi ka bill,Travel
Dal Rice monthly KFC in Pune today,Food
Movie recharge Epic Games morning,Entertainment
Bread food College Canteen night,Food
Chocolate payment Starbucks for hostel,Food
Gas Bill today Water Department evening,Bills
Airtel Insurance diya using debit card in Jaipur with friends,Bills
Myntra Mouse bhar diya using cash,Shopping
Woodland Jacket se mangaya,Shopping
Wow Momo Chole Bhature se mangaya,Food
Lunch Box bill Local Market in Jaipur yesterday,Shopping
Electricity Board Broadband Bill recharge kiya using credit card,Bills
Bottle yesterday Boat using gpay weekend,Shopping
Cab purchase SpiceJet,Travel
Taxi subscription Petrol Pump using cash,Travel
Headphones Woodland,Shopping
Electricity Bill payment Electricity Board,Bills
Fastag Fastag Recharge se mangaya festival shopping,Travel
Saree paid for Nike using phonepe late night,Shopping
BSNL Gas Bill se liya using credit card daily expense,Bills
JioCinema Cricket Match bharwaya using debit card in Agra for office,Entertainment
Blinkit Paratha kharida using gpay in Bangalore monthly night,Food
PlayStation Store Subscription kharida hostel life,Entertainment
Hostel Fee food Society,Rent
Steam Gaming order kiya late night weekend,Entertainment
Netflix IPL Ticket se mangaya,Entertainment
Subscription payment Spotify for family,Entertainment
Croma Jacket pe khaya using phonepe in Agra,Shopping
Arcade bought INOX using upi in Delhi,Entertainment
Electricity Bill bought Vi,Bills
Auto order AbhiBus night,Travel
Face Wash today Max Fashion using cash in Lucknow,Shopping
Internet Bill via BSNL during vacation,Bills
Myntra Tempered Glass pe khaya in Hyderabad,Shopping
Water Bill booking Electricity Board,Bills
Dominos Pasta ke liye payment using gpay morning,Food
Perfume food FireBoltt,Shopping
Cafe Snacks ke liye payment in Agra urgent purchase,Food
Vegetables Pizza Hut using paytm in Hyderabad for office,Food
Subway Dinner ka bill in Jaipur weekend,Food
Diesel paid for Metro using phonepe afternoon,Travel
Toll Tax shopping Uber using upi morning,Travel
Hostel PG Rent ke liye payment,Rent
Boat Shampoo order kiya using upi daily expense night,Shopping
Pantaloons Phone Charger kharida using cash in Jaipur,Shopping
Subscription this week Xbox for hostel,Entertainment
Kurti Flip Cart,Shopping
Epic Games Cricket Match bharwaya yesterday,Entertainment
Eggs yesterday College Canteen using upi in Lucknow,Food
Burger King Poha book ki in Bangalore during vacation weekend,Food
Fastag Recharge this month AbhiBus using phonepe birthday,Travel
Evening Snacks order Spencer in Hyderabad,Food
Society House Rent bharwaya using credit card afternoon,Rent
Myntra Phone Cover se mangaya,Shopping
Juice Star Bazaar in Mumbai,Food
Sandwich recharge Chaayos using gpay daily expense,Food
Uniqlo Speaker bhar diya for college,Shopping
Security Deposit recharge Society exam week,Rent
Concert paid for Epic Games using cash,Entertainment
Vi Recharge ka bill weekend,Bills
Xbox Concert book ki in Noida evening,Entertainment
Wow Momo Pasta bhar diya in Lucknow hostel life evening,Food
McDonalds Roll order kiya in Noida exam week,Food
Credit Card Bill bought Vi in Hyderabad after class yesterday,Bills
Recharge shopping ACT Fiber in Jaipur yesterday,Bills
Uniqlo Notebook bharwaya urgent purchase,Shopping
Subscription monthly Disney Hotstar with friends,Entertainment
Fastag Recharge this month AbhiBus during trip,Travel
PG Maintenance se liya,Rent
Auto purchase Akasa night,Travel
Music bought Netflix in Agra daily expense,Entertainment
Paneer food Behrouz in Mumbai,Food
Juice using More Supermarket,Food
Shopping Mall Laptop ka bill late night,Shopping
Pasta order Local Dhaba for hostel,Food
Gas Agency Credit Card Bill bharwaya using upi weekend,Bills
Snacks today Faasos using gpay for family,Food
More Supermarket Rajma Chawal se liya yesterday,Food
Subscription at Epic Games using phonepe urgent purchase,Entertainment
Samsung Store Hoodie bhar diya,Shopping
Monitor food Westside for college,Shopping
Flat Rent from Apartment in Delhi morning,Rent
Apartment Flat Rent kharida using upi weekend,Rent
Rapido Parking bharwaya using gpay,Travel
Makeup Kit subscription Shopping Mall using upi in Pune weekend weekend,Shopping
Box8 Shawarma kharida evening,Food
Burger King Coffee se mangaya using upi weekend,Food
Headphones weekly Apple Store festival shopping evening,Shopping
